age,limit_bal,pay_delay,bill_amt,pay_amt,education,prob
61,183179.07765983956,1,130739.7243583705,17478.53492394887,1,0.16388450481283975
65,256835.46872127507,8,101077.22672822778,4417.125796751796,2,0.9999466676849225
65,185362.68595213376,4,120314.6705503366,0.0,2,0.9700473720478969
36,258454.0585868048,4,147030.37439791468,0.0,1,0.9684592806520553
38,282878.3631368087,1,199867.66629781894,9771.924741974894,1,0.18971404159071614
46,180615.30336877928,4,150897.65419022398,12644.884170621337,1,0.9795502381514651
49,125586.78427031783,4,51687.89708439268,0.0,2,0.9583099762119653
63,256910.2186287526,5,33875.81789810475,0.0,3,0.9790709608500563
38,94257.71294946772,9,134141.9116639155,3555.2875836500657,1,0.9999976968593542
53,292021.1771964393,0,106002.20791993575,6525.407927895882,3,0.012513671439700799
66,227818.66964391552,5,109918.81979052286,9714.288612773042,2,0.9921316797094503
70,263547.1826385124,6,33520.49161418709,11983.787128398633,2,0.9962246666525542
37,59717.95139203209,4,78578.88524900629,7111.031125172291,4,0.9745701922451192
52,334230.0472291529,7,79365.2116378868,0.0,3,0.9993703174072543
46,160535.1973246469,5,17306.497317488233,7905.833149284495,2,0.9866172810986598
59,163078.28746497142,3,115888.63933445158,0.0,2,0.8605900140363345
68,39712.2056559528,5,103508.56426325065,10632.69170695847,3,0.9969741050939805
58,161043.2647357907,4,0.0,5841.332581481061,2,0.9141398958436155
58,108546.90193930885,2,79368.05829875953,4978.268889201985,3,0.48209954098567337
58,290308.18299695797,2,184696.4207228631,17249.152594711428,1,0.5129897581084811
46,170382.34012713976,1,155524.04889560776,934.984791762899,2,0.21415105110379093
61,137924.1696742529,2,130307.80380167122,5645.669163958124,2,0.5860665439961265
41,306000.85055711435,1,162497.1608816687,9933.021080574676,3,0.10737638734609478
55,70497.24030285643,8,61655.896384125925,8433.124662606228,1,0.9999748530999232
71,92332.98480579823,4,187589.74847203173,0.0,2,0.9910913341731389
42,136542.894800519,1,137332.30763340328,9264.913660785054,2,0.2119685956307488
38,299088.7698703508,5,137003.8331526434,6558.734859856142,2,0.9913118250178654
37,133548.11144471506,9,37422.99634592787,8338.438565615035,1,0.9999920101597
36,193143.11968642447,1,51871.74872497999,3016.8869813114734,2,0.07578659322563049
45,141337.88354430374,6,133455.51822037584,4281.8439607170785,3,0.9993270222680454
46,94646.41683057169,5,137173.47995393723,0.0,3,0.9972126952716933
38,171691.46513328684,2,151397.08263479188,0.0,2,0.6008130524523042
68,215332.77959380168,9,161838.52609379037,1415.3896916266035,2,0.9999961401079657
39,74123.53235923343,9,74674.1195118029,6969.35715639547,1,0.9999961706183453
46,196466.32000222174,3,95691.66420451975,12005.358268657135,2,0.8004882086023252
46,10000.0,8,176154.43425995368,8472.88698052659,1,0.9999946401198528
57,106486.1525529798,1,127453.73843955761,353.50177772093275,2,0.22714049718901275
58,273220.9264041309,1,169429.9292491583,3692.653193214021,3,0.13582660782446812
52,175107.44845093778,7,143856.95866963855,12978.514267449145,3,0.9998670691003319
48,252879.36069290165,3,152613.02104609326,0.0,2,0.8434531275931769
61,295775.95555946644,8,133729.02438910375,1909.8588149461102,3,0.9999493060642232
66,255495.58410033226,6,149089.42703648785,0.0,2,0.9989517569503842
53,227426.72513447632,7,117912.02484473526,10772.702454957318,1,0.9997962214268706
73,259473.366633641,6,112581.35114989008,17832.387025904456,2,0.9983308883520107
65,208484.1156344042,8,172342.9747524858,0.0,2,0.9999810331258037
48,166071.90918333875,3,177306.08585355498,0.0,1,0.9254175420944845
73,262857.7415117267,3,140028.57920530406,10430.785173704391,4,0.7851377331379639
44,236479.67223181395,7,58428.39177150504,3651.4951939826947,1,0.9996154585346457
62,214275.598008647,3,56059.816698669114,0.0,3,0.6961032055459382
62,336253.5823467033,0,106184.51856655147,13449.93144773445,1,0.010812165361155136
47,230066.69024770655,2,101233.87137350855,19055.91386932841,2,0.3722200223911468
57,411313.5935074274,6,69363.85751885109,0.0,2,0.9941298516451874
48,83954.2322498738,9,0.0,10796.754830926424,2,0.9999903833343842
65,291376.824348171,0,194473.32787559493,8719.054580993768,3,0.030184050597358486
47,205748.02913153952,0,0.0,3439.969236133535,2,0.007606277797637437
59,289177.2244035516,7,149768.88932598179,0.0,2,0.9997806085905704
55,166569.98629599082,5,140467.51493727643,11931.686230094881,2,0.9959900801324965
46,328221.2203877404,9,156542.76853129995,6811.4944962358995,3,0.9999915568056679
70,314136.6737504384,9,2891.564530145042,2518.828644454235,2,0.9999642400453407
71,249467.90760481235,5,151684.63040062942,184.7553416076621,1,0.9947192810215862
55,146289.7949022806,1,65522.366255062974,0.0,4,0.0966253700971227
57,205063.26192617847,2,16129.452216185775,6324.681139597124,3,0.2152162728479571
46,138667.4631038007,6,37786.124448512775,1293.531880217964,1,0.9984692614964958
63,206325.81678649367,2,124607.94314578535,14739.463029375114,2,0.46412348014429095
68,62252.8572836011,0,80127.51383115786,0.0,1,0.04142306397838776
61,98316.78162320261,3,93657.62654494682,0.0,2,0.8774050830264886
52,76507.43922128694,5,24424.221694559674,7640.677984360007,1,0.9928371538504205
65,286266.9163186959,2,90028.24805967472,7827.075675545448,1,0.2935712776909855
48,223218.26298259784,4,23775.752283218215,0.0,2,0.9068304057087264
65,68159.12768253085,8,104832.16654689821,9995.815019506483,3,0.9999814389304182
41,178930.49795779618,2,3320.950827292574,0.0,2,0.23759143860362036
51,317336.71237740025,0,145902.30108368327,12315.580404758086,1,0.01833218582391104
60,186609.07585375776,8,83308.82997336611,11029.079742075228,1,0.9999597597739397
36,89805.2840902029,2,78613.46667096554,6725.865933318438,2,0.5291680694469165
64,141771.58556992665,2,76836.78617351358,8149.669841335063,2,0.44071392920484515
54,217216.48766949872,7,69700.23949960634,0.0,3,0.9996486957453221
55,304064.0244517599,9,95910.7847733749,2702.311084406001,2,0.9999872832811066
70,134472.8344396099,9,83935.41278434143,15219.95473623815,1,0.9999947499232039
47,19697.331142666342,8,161891.44848834485,6093.732864474023,2,0.9999929940784752
40,230445.0830916969,4,19006.72141187945,3464.473830792082,2,0.898478606752533
40,176377.06224471872,2,134445.06503672458,14679.249689348238,2,0.5389617624481151
66,56222.894614335644,1,19653.899356213195,5017.568577932818,2,0.11228648138338759
49,66234.49323243697,9,86970.28938762596,0.0,3,0.9999963400533209
61,155902.98385948714,4,113333.69891168573,0.0,2,0.9729376913021465
37,57418.050826297025,3,74924.57847880953,11127.308550093421,3,0.8733418880761856
63,83775.71998959302,7,90085.08112235999,13687.085722691512,1,0.9998806309101219
69,239579.41131601148,9,44139.026601439626,3202.8424177527195,2,0.9999848920932783
43,280225.1235486958,8,65761.63706017807,183.73797720598486,3,0.9999087799146643
70,238181.75793690883,1,76855.52611828483,15171.450481486838,1,0.07517946771226414
38,121695.3885908211,5,106842.08085754298,2820.339916261679,1,0.9961188620339024
49,230271.45430837016,2,62938.78130260294,6352.271013344325,3,0.278841450152308
45,79563.67816308887,7,113300.8854208944,0.0,2,0.9999076440192005
46,259503.39525228343,6,13194.599506296567,7923.336102229512,3,0.9953009327310431
59,158484.54700584023,7,82184.76610353812,3196.307346754601,1,0.9998069148054842
65,400983.39623563347,2,129742.21027136344,868.8433382531721,1,0.2465213747141237
50,272535.4568287635,9,83191.56997645815,11296.880318715657,1,0.9999885001445725
44,267083.34798199683,0,106947.5869845086,6419.731082092261,2,0.015785551894759
45,232371.4334488208,1,109466.32687382473,0.0,2,0.10574476442485661
49,331154.687153231,6,101024.53910638097,3912.1908957448027,1,0.9975130790735398
50,151536.6049868831,7,32949.45896535845,0.0,2,0.9996756004726157
74,158882.5303397167,3,71483.73152830852,5102.687017075687,1,0.8061429525082401
64,122240.03049240507,5,107414.06031601486,4417.543249447911,1,0.9960086565952092
52,248270.95170236586,7,123373.7891907183,0.0,2,0.9997748202624498
45,132402.94261402346,3,69440.48060672569,12087.611255409378,2,0.816723015681687
35,210439.54674775942,5,125789.66938049268,2682.261171210882,3,0.9938543580664997
56,236113.12879642096,8,13625.038507931778,9086.774182518511,3,0.999874126552746
35,326710.9846416547,4,197204.76156485826,5146.723707164172,2,0.9694184241965963
51,17786.140935519972,1,100649.33374403694,6010.488626219526,2,0.2700619064134447
44,87778.13573491338,1,53641.36055961157,5295.088601933401,1,0.1406127979729236
74,294250.53859667695,6,117660.10407979418,20889.987156987278,2,0.9980372721812074
74,383422.4277899128,0,0.0,16169.978125370324,1,0.0027046732942838346
69,229930.16516562167,1,26498.003094145148,3521.0097212683254,3,0.043802314256552774
55,205880.82753037897,2,125582.56560452994,6529.301375955755,2,0.475953201117216
63,173478.98547651485,0,108568.11340593855,15727.872966239875,2,0.026165834650990146
51,289411.40621569793,3,123192.69460036946,0.0,2,0.7619262192146071
57,198695.9172694994,1,94469.23288191651,480.6096017547702,3,0.1018871531989641
38,112820.88071117805,8,102069.85460916185,347.9449939810597,1,0.9999796709606493
50,300257.19116160774,5,158956.37421637264,0.0,1,0.9935498353572413
55,113148.51220256386,2,0.0,10317.29205812015,2,0.29683357919865927
62,221962.1767623211,1,119798.8042984959,0.0,2,0.12089531264751295
49,194557.63761998148,5,108778.15885684379,15192.86007998726,3,0.992954992843676
68,105227.11426567353,8,84457.6266635702,0.0,3,0.9999723716847446
47,203024.6787379322,1,68934.96762036684,0.0,1,0.09004353596917665
40,159354.85077708177,5,129386.19463097578,21750.995248207768,3,0.9952969000659541
69,277768.44905630447,9,178328.84353383427,0.0,3,0.9999949821738896
36,308340.37180333765,7,116733.41681404239,0.0,1,0.9996854566869364
51,248030.3082396339,7,98856.49909376842,682.7555505084165,2,0.9997099917307232
53,272812.1209136255,9,152196.47813646885,0.0,2,0.9999941431169688
35,240002.98701525154,2,100092.8717549305,14426.746772535867,1,0.3786677319506772
45,29422.85513365455,9,247971.67977759673,7875.626394959676,1,0.9999995035402156
68,123888.43958927556,2,91292.81888324984,9299.715188069478,2,0.5020299796842113
70,203292.5209004378,8,168751.6694584102,3478.0369776368007,1,0.9999819128768762
51,179183.78233578283,9,61043.58808574871,0.0,1,0.999991931131523
45,265686.976171749,2,75900.88833934972,0.0,2,0.2832161043279368
45,140844.06413799454,0,62587.97507862351,4888.5249212508525,3,0.01949922314144008
71,317612.2673407462,9,88269.7883182962,0.0,3,0.9999839035590776
72,145306.56983457418,8,97454.54070717793,11179.949317469573,1,0.9999723654124988
55,69139.29177824644,0,113104.39588168281,2413.3540066686396,1,0.05538404436872167
53,232254.25326139294,2,81506.0549927052,0.0,2,0.3356710921625789
68,148091.949600373,7,143486.16291599313,3299.8269163499053,3,0.99988790316489
46,178168.2935564243,8,182634.59302627033,15402.6999759016,2,0.9999852591653237
53,338053.93977013713,3,106898.69032639985,7742.343339127627,2,0.6643139392768502
52,235930.5964277912,6,67582.4316276936,569.0204108412881,1,0.9980043575908233
63,237677.38932106376,3,140042.4183412228,0.0,3,0.82608407932253
36,243525.1196794012,8,112969.88615697648,0.0,1,0.9999610532638298
74,76658.448210672,1,94790.65798037856,0.0,3,0.1864584584136461
65,145439.87176981202,4,155406.36259237194,0.0,2,0.9832769152839805
41,140821.72004708758,4,120917.07676976368,16055.038455019087,2,0.9762435836348057
64,274999.69749120873,2,173863.58921286184,2929.83751649202,2,0.5000928164508917
45,184833.1445887799,8,79518.44727811404,2002.8485763794367,2,0.9999574905409556
51,229632.12995062707,5,44322.57834393372,7936.274439101995,4,0.9825096344406512
55,210462.274499015,7,5883.074615276433,0.0,2,0.9993912299375804
62,144268.9601880157,4,174631.77017700547,5652.597209106247,2,0.986128262608934
50,330436.85819114884,8,74336.28996743858,0.0,2,0.9998949230612287
43,339910.4279998103,1,57201.101227484265,7036.930309341244,1,0.03712861633433386
67,308378.28821884247,9,173203.5115163603,8266.831381947039,3,0.9999935087629953
38,336216.7483944779,0,128548.36570114427,9519.943057233751,2,0.013138304273870761
71,147587.32449544888,9,62560.12230148051,0.0,1,0.9999932678571212
69,255980.6629653719,1,83409.61181137557,0.0,2,0.07135592089402704
57,304040.3564481305,5,26044.170095027097,0.0,2,0.9724770677299924
52,324444.845022556,7,66569.36705283636,0.0,2,0.9993675903957344
40,72194.44385686587,3,66632.50181052268,0.0,3,0.8571939075172793
67,107396.24496166162,9,85754.77291036992,10178.576845843196,2,0.9999953734892426
50,291236.98575910483,4,112777.27283405894,840.0883005299393,2,0.942215597488541
58,120691.2194075092,7,64167.90775061192,3683.868401442998,2,0.9997998866976278
47,118888.2886578821,2,138063.42902457353,1778.0569760006301,3,0.6213634572917279
60,144222.81652833952,7,147429.12196522384,10801.105903144162,2,0.999900294231965
60,293783.2509522586,5,46258.967240868405,0.0,1,0.9801843503373332
35,238161.99619289231,4,5424.98760945104,3340.2816489710863,2,0.8808248193785791
45,160540.40089312475,0,78284.05549987708,8363.457153654239,1,0.023171691709185684
56,192876.40768157176,5,15354.853499356512,0.0,1,0.9848914103460202
38,292088.07078177936,4,0.0,8009.069275209009,3,0.8233886812086377
41,113976.77917061797,5,97784.13682606065,4084.7069124625255,1,0.9958985615746695
55,162303.54393199206,6,92639.03105826462,12680.106874531053,3,0.9987964777743101
49,25561.140787484677,4,55618.53528344889,3452.7138705906173,3,0.975392005271042
46,257753.5161059497,3,82633.14603407477,7458.7770052639935,3,0.6984193810923346
72,233456.66850776464,8,45673.17519410119,0.0,1,0.9999237768010768
54,22875.90485969835,8,105592.7578993488,0.0,1,0.9999882571251363
56,171274.13565135334,2,0.0,9624.124828268308,2,0.23117023175006296
48,10000.0,9,99222.97801770164,0.0,2,0.9999978404339794
48,146017.3231061623,4,54155.31270646345,0.0,3,0.9512542722482763
65,237450.80424678564,4,53889.00413276001,0.0,1,0.9280384021320821
54,37655.17479462165,9,83376.24330004204,13622.564043623624,2,0.9999968536665533
45,59476.31974989781,6,14209.532431166997,8313.059902700912,2,0.9986528558564738
35,231705.7730851644,6,74327.10500422734,12344.69201400649,2,0.998008328944978
64,108585.69536653506,7,106339.4105423937,19761.61408880989,3,0.9998627756346878
56,164771.12104804907,5,96090.35026449349,8220.195042473006,3,0.9933591207738511
39,249907.32020096498,7,58431.532335598546,5823.127054475299,3,0.9995199861277616
62,342067.8617278074,8,119396.30887703263,1482.6520134278453,2,0.9999281812229227
66,144715.07902635634,3,0.0,10342.354611045306,1,0.6814631954482654
62,257898.196528694,6,99399.23827500186,5481.261924920056,3,0.9980688915637985
74,388568.67885083595,4,169019.8995313584,6915.620327466504,1,0.9442259912249259
48,230770.93696249207,7,6860.13269088784,14361.118015398857,2,0.9992933796300666
46,194624.644585251,8,110582.5695039171,7233.059718038202,1,0.9999690024051981
68,118325.8918617424,9,1307.4253094565065,3683.263326649667,2,0.9999884379883893
74,281165.9638217349,2,156970.29810393474,643.5124993735903,2,0.4470542910403979
64,181471.05331815546,6,67589.07739473495,9416.1671224522,3,0.9982599732646941
59,289138.6963470647,1,159527.8902085849,2818.711168914002,1,0.129763906987601
45,341981.3843455839,4,158151.56975314277,10002.137877842513,3,0.9461999908402522
57,153408.74769844091,9,135816.86492117477,0.0,2,0.9999965405972877
49,211421.37365388984,7,29428.37734134621,847.9460658336675,1,0.9995539594293834
45,218011.2711344276,7,111408.32883139321,7591.559647884285,3,0.9997668453408752
52,250907.41172260616,5,74531.35476317526,6755.84695744125,2,0.9873791976483612
61,214998.7390446549,6,66192.57163317014,5750.779986130198,2,0.9980279745025404
60,84065.09020262469,0,62727.95428248347,11652.175847656867,3,0.026071173678348696
52,188052.17318497636,9,47471.08276382503,4605.789016947281,1,0.9999900630506677
58,203711.1453262034,7,81309.62292793588,3830.2393546791204,2,0.9997272125072658
58,199563.8591196698,0,84680.67175675814,8320.452254876764,1,0.019519691756378535
47,115095.34142026803,4,151848.27904425748,0.0,1,0.9866574952203925
54,124309.31480783006,7,107862.03688673164,8351.359170764284,2,0.9998683381654117
53,256979.76654670743,5,125603.95736592225,0.0,2,0.9924063687855905
66,10000.0,0,33386.87066885058,8604.05109347379,3,0.029728232544449253
46,246637.67718352607,4,156010.0316875331,17299.165266854037,3,0.9670350612738289
56,180074.16004725342,7,91601.48039433529,4412.745081400092,3,0.9997708485176869
55,194564.23274077312,4,114900.51355257662,0.0,4,0.962193189604995
48,61953.9532518319,1,45868.08242573006,13976.48526261753,3,0.12868737923491377
66,178048.18011071451,4,158545.2406727611,0.0,2,0.9804391421200662
47,157406.45947320006,3,166126.6294337527,1434.171958128642,2,0.9152445277121755
56,316810.06860501895,2,24299.486190725016,10682.981042364638,1,0.14976197675196823
57,385248.73552337,2,111285.20294831849,3143.875199464115,1,0.22876735511142526
54,202644.53922987782,1,87340.28546463583,12893.58988029679,3,0.09021721096967004
73,405114.4761759853,0,92785.46098667152,8017.920867882583,1,0.006361628812543496
60,275051.892961143,1,7758.041210225667,15730.617506162516,2,0.029257183268255594
39,198403.5316762318,9,36025.44284273992,2887.539798198105,4,0.9999855859598326
35,279537.9501441787,4,177945.226258763,5250.192476714743,2,0.9716245062128424
35,211797.18888504614,8,97571.00347502046,0.0,2,0.9999593559571686
48,269792.15083257074,0,202707.15759481577,0.0,1,0.044280294787066174
52,319491.09763461596,9,123440.29111119891,15471.672229711168,1,0.9999898504655012
59,148315.6580419241,7,81903.10081588088,10321.778759943332,4,0.9997692550589559
42,163340.32761388225,5,72837.4592246463,1973.5552364978853,4,0.9913356586130397
44,308488.22510182805,6,102075.88001498728,3671.965639077293,2,0.9977012709125448
71,134134.20764006214,7,124587.75693421642,253.7025785128708,2,0.9998838108068956
37,75432.7773477116,3,95983.18760056255,2565.965592895849,3,0.8880407728020034
57,141183.7615307117,4,116975.36337562067,0.0,2,0.9761067027576209
54,200876.08723796246,0,138393.70555234456,0.0,3,0.029907256838521926
67,230991.67934155272,3,23604.394971661968,13616.2915047743,2,0.6026546935813568
40,267794.9979847462,5,60263.88778738015,2441.0095529297214,3,0.9831905199297504
67,277247.2834198677,8,59706.079774277474,0.0,2,0.9999089978811303
59,217257.43245271602,3,89460.06891253451,0.0,3,0.7611994790529095
35,305432.3072947925,0,166516.5310327335,15273.976358218133,2,0.022700778076775154
59,23260.032781167596,6,68765.13032262103,15690.49790963548,2,0.9993553256716292
70,201081.25553962254,5,116396.24731321356,0.0,3,0.9934259124380286
54,119194.96863137418,7,162923.97259916613,4133.741006406491,1,0.9999334949087277
52,178374.21721453388,4,0.0,1051.3656891522596,3,0.9015739406794643
50,306043.91880212637,5,59677.73787809674,8325.781320077878,2,0.9797677357545785
44,119429.60223722305,1,113818.9778627127,0.0,2,0.19352827874816722
45,267895.9484233499,8,86666.26527401576,8700.922209594077,3,0.9999295389534272
69,129495.4448043099,0,75066.10254560542,4275.885071671235,1,0.02652172820130982
51,230637.58711057802,4,50680.60868748227,16301.534939163937,1,0.925807201266887
68,105026.9689795894,4,76971.32293383798,0.0,2,0.9706257912014024
55,244386.17887949743,7,65951.7830788867,3956.9032682520656,3,0.9995658214077828
69,369036.58692706644,9,86603.87038444263,3945.329507251207,3,0.9999776215781684
69,251484.26935141277,7,90365.06501291702,12396.909541181443,2,0.9996582913370397
70,136242.53010645957,3,130690.6510826149,3109.0127886426562,2,0.8918035742179595
44,185422.53560580677,1,101515.43076648226,7749.438364620373,2,0.12277187208996743
73,227583.12599145214,3,140401.58438722917,15760.454988903592,1,0.8455896864775964
42,232155.95047148623,0,64598.59240138951,11482.987227344924,2,0.01236861188550765
45,222138.05394627474,7,149082.2651969695,0.0,2,0.9998528529355689
67,125557.01810449467,1,93160.77931975748,0.0,3,0.14558543307199082
44,277500.1438469314,1,169561.47569431615,7500.665147240905,2,0.1415678819659381
70,59043.83423392361,3,117558.96263122882,0.0,1,0.9246111847694503
37,171763.08857983,8,77069.13616003923,0.0,2,0.999960194767276
37,212363.0543600246,7,92448.66417628499,3158.8705780609303,3,0.9997317344001251
64,264141.08223498537,4,215548.3110480848,7928.049672188545,2,0.981561823072149
65,122772.66604895648,8,6962.868150810842,0.0,3,0.9999320300059976
49,251974.3054612691,8,71375.67579141511,5208.20565556235,1,0.9999352087153456
39,355289.40272503294,8,99756.48386993611,0.0,2,0.9999075240030685
61,139433.78763866742,3,144765.97410674443,10066.36748702135,3,0.8958084924317523
67,259039.5220804296,2,108845.98739994291,1834.973214289807,2,0.35962118602442666
67,183295.99818468303,6,91921.29952596435,85.9378111505348,1,0.9988437454254164
70,324790.4717713973,3,49410.14845028186,2290.548314509756,1,0.559266964408993
45,57526.23561213483,0,73517.91129524077,9066.823242370152,2,0.036975908452365
71,150510.6766391949,6,190331.46542058542,2412.234623429421,2,0.9996248761945125
74,87428.0528445046,9,9912.782919577949,4403.223882518478,1,0.9999917057129278
42,47059.77681440918,8,34952.633643678586,11845.822596340162,2,0.9999690579617063
58,307820.9802027236,1,28601.667346226262,0.0,1,0.03374609733420472
53,225984.6878729187,9,78182.15774619216,2832.8909537496547,2,0.9999903496845939
70,227761.1741115669,2,105435.40303908223,16952.42233592884,1,0.3986661779455459
41,264872.9611778157,1,134630.66814564497,0.0,2,0.11288989108169227
55,49034.13261559358,4,70035.36448268863,9831.785628583424,2,0.9766788479894586
51,233546.65889300153,9,0.0,8361.49772822905,2,0.9999770119806192
71,125337.5608980178,7,14033.20874024833,14402.26689722338,3,0.9996115311786115
69,93237.22217530524,3,77218.75231382952,0.0,1,0.8688338564480047
54,60962.38540190982,7,0.0,7303.639956093483,3,0.9997041006251242
69,116344.51600998994,6,119516.49539655767,15157.38095499751,4,0.9992357031063794
67,32582.28052284784,3,55287.062386588346,0.0,2,0.8755593395504019
37,146403.64303265468,2,11259.670466482828,3746.563043916397,2,0.2887002491240035
50,115671.28491725487,8,76135.27355267384,3200.732638168614,3,0.999968221672304
65,253370.59757760595,8,91643.29713941344,7877.792096357032,2,0.9999417332178447
35,398774.7516115089,0,108071.95529078266,0.0,3,0.0071508185844224624
47,90441.07806388142,8,163833.28103013628,6258.5244744179145,1,0.9999903084514402
64,274701.53339937807,7,155555.0666496092,2578.2641367930673,2,0.9998075793705979
61,134468.5760231075,5,43489.841270624696,0.0,2,0.9912912244582636
39,163546.5316151335,5,77717.2310646787,0.0,2,0.9928924509537622
44,172080.14894911658,6,22278.778723781725,7264.1609264214985,1,0.997777498297959
72,188121.4594894983,9,128965.16541052604,6114.007510898507,3,0.9999949439314773
53,243242.50175242298,3,83126.03109469672,2440.0404028953953,1,0.7465864282864618
57,82396.60807188305,0,98586.97626307455,13606.241437716202,3,0.03754958543257428
58,305205.42844035674,1,102121.74975859321,0.0,3,0.06175222083607151
49,79833.96452420605,9,101461.0307734383,7664.451153966708,3,0.9999965004999624
58,254582.8398694902,6,0.0,13120.5713820085,1,0.9953228186933443
65,90078.51204503789,7,121660.37592995113,5236.469036078702,2,0.999906516466171
74,286741.1162412496,1,103849.50226151576,0.0,2,0.07309509181544223
73,201385.7867938734,7,109847.29282935531,6472.301487661114,3,0.9997798517291492
64,168924.6611589222,2,149218.35946235055,3361.9907597333463,2,0.5904786109238779
51,397458.92092768406,1,50243.33919162285,18282.32309726173,3,0.020828530649966048
71,180622.49111737724,1,0.0,6219.583494427102,2,0.04704914270614258
63,147319.26025206054,4,103631.47788356342,0.0,1,0.9734236747778339
49,218291.4901861726,3,47857.517889929615,4286.937618497339,1,0.7027210180380685
52,258914.4742968367,4,65974.00060856775,9283.247707541934,2,0.9218547188398507
60,244238.31890333124,6,82913.12372175373,11902.264462329864,4,0.9976892762694184
39,292364.6173442695,3,95360.49607762443,0.0,1,0.719263044792413
54,260606.21735074604,2,116253.90728047126,0.0,4,0.3470874775749403
41,89745.70287559016,3,92220.70040124665,2809.526537144344,2,0.8822511929491689
52,163122.7269597105,0,39865.41196130441,2046.906682296398,2,0.014629460523209223
69,191832.39880444395,7,156278.80746165477,0.0,3,0.9998743288255274
61,283092.3898010899,4,97019.73621975943,0.0,2,0.935137149159961
53,86830.6630939745,7,60917.988417320965,3270.7199817108576,1,0.9998428327317034
50,202858.5538474015,8,80013.41042980322,16375.432127464184,2,0.9999504829489027
48,241732.32487456448,9,135600.83868751765,11900.205096845517,3,0.9999935662683114
42,68046.072080012,9,61949.871909635454,11976.32420211925,3,0.9999950523863633
47,197140.22663998883,2,15311.292759151329,5145.915671606226,3,0.2240738575575629
43,208676.3875339198,6,148793.11017896584,7545.991045398614,2,0.9991989068071943
48,168697.63847204382,0,71453.44412089378,3886.2170863541064,3,0.018181706590136
37,183279.03176819085,3,88058.7215448539,14225.924705691903,2,0.8004883946971207
46,141394.95538606896,6,39675.41406995558,0.0,1,0.9984811024988377
67,90182.8246810641,6,24860.607419262626,2843.9317579785265,3,0.9984443514523159
66,189775.91723655944,6,55906.71653946557,1417.0788309904715,3,0.9979889275943163
60,210041.81399051184,0,48349.04661436871,14037.333365594448,3,0.010825096398706175
63,107051.89446971435,9,138413.36358430627,5528.114598742947,1,0.9999975497312397
35,204677.7529206106,1,80173.68974143958,3435.1982923262062,3,0.08729008902402785
58,116722.96404108992,8,144973.71937463037,6746.986192622071,2,0.9999850760265452
65,308243.3657138301,0,155671.95095988928,8104.4509154241405,2,0.019901376670874295
